49,385
49,442
49,171
49,141
49,227
49,240
49,115
49,282
49,141
49,644
49,420
49,330
49,526
49,534
49,656
49,544
49,563
49,1179
49,1094
49,1141
49,1089
49,1118
49,77
49,1168
49,1257
49,1384
49,1279
49,1398
49,1370
49,1728
49,1666
49,1552
49,1720
49,1615
49,1781
49,1912
49,1950
49,1799
49,1867
49,2041
49,506
49,902
49,389
49,800
49,824
49,968
95,248
95,474
95,173
95,80
95,106
95,497
95,698
95,575
95,529
95,681
95,551
95,732
95,707
95,1030
95,1112
95,1170
95,252
95,250
95,995
95,1242
95,1295
95,1355
95,1251
95,1437
95,165
95,90
95,1616
95,1757
95,1537
95,1657
95,1896
95,2010
95,2063
95,1853
95,2089
95,899
95,797
95,135
95,862
95,812
95,890
149,1374
149,1429
149,408
149,25
149,579
213,237
213,157
213,47
213,486
213,428
213,54
213,320
213,646
213,603
213,591
213,593
213,592
213,245
213,524
213,588
213,727
213,1146
213,4
213,1022
213,1148
213,84
213,1184
213,1099
213,1186
213,1509
213,487
213,1458
213,1509
213,1368
213,1531
213,1513
213,1785
213,229
213,1517
213,1624
213,1932
213,1802
213,1871
213,1885
213,2057
213,1888
213,857
213,798
213,362
213,826
213,168
213,261
256,1497
256,377
256,8
256,337
256,1539
291,59
291,656
291,101
291,877
291,888
291,902
291,1176
291,1145
291,1380
291,1567
653,444
653,25
653,163
653,460
653,30
653,789
653,1412
653,1579
808,788
808,942
808,30
808,939
808,1817
808,1190
848,791
848,760
848,62
848,467
848,298
848,177
848,1511
848,414
848,1721
848,2065
857,889
857,143
857,477
857,182
857,691
857,1353
857,1144
899,871
899,862
899,811
899,350
899,105
899,126
899,493
899,717
899,680
899,724
899,1742
899,1835
925,658
925,620
925,1346
1012,1015
1012,1148
1012,1163
1012,124
1012,14
1012,739
1012,2036
1012,795
1026,1297
1026,1394
1026,1214
1026,1233
1026,112
1026,439
1026,2085
1026,846
1058,1170
1058,251
1058,1186
1058,21
1058,187
1058,471
1058,1243
1058,498
1058,944
1118,1189
1118,1239
1118,387
1118,1220
1118,1229
1118,284
1118,836
1126,1137
1126,1103
1126,33
1126,596
1126,1635
1126,2019
1176,1123
1176,978
1176,1206
1176,1314
1176,108
1176,706
1188,1040
1188,154
1188,1860
1233,1282
1233,154
1233,1465
1233,1239
1233,1288
1233,939
1233,923
1233,510
1233,1587
1233,1892
1397,1357
1397,753
1397,775
1397,851
1397,51
1397,172
1397,491
1397,566
1397,988
1417,1229
1417,179
1417,882
1417,955
1417,842
1417,163
1417,280
1417,24
1417,2005
1431,1461
1431,1311
1431,1434
1431,1345
1431,1435
1431,299
1431,327
1431,885
1431,779
1431,357
1431,422
1431,32
1431,576
1431,1517
1496,1311
1496,1269
1496,419
1496,1481
1496,189
1496,410
1725,1561
1725,1558
1725,1685
1725,1549
1725,1499
1725,285
1725,211
1725,409
1789,1019
1789,1317
1807,2011
1807,1808
1807,1842
1807,2014
1807,1923
1807,297
1807,324
1807,1222
1913,1916
1913,2037
1913,6
1913,140
1913,1585
1913,1074
1931,2078
1931,1930
1931,1801
1931,1803
1931,195
1931,812
1931,898
1931,792
1931,1398
1931,188
1931,464
1931,664
1931,1607
1931,1063
2074,1923
2074,2039
2074,1964
2074,1837
2074,2018
2074,1247
2074,1256
2074,247
2074,56
2074,1587
2074,1011
